,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires%,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface
42,257,E,60,F,73170,17 dec  2019 ,12 dec  2019 ,Marcq-en-Barœul,,59700,5633.0,875000,  3, radiateur gaz,3.0,7,1.0, 1 ,,1.0,,,150.0
43,248,E,11,C,1357233,,9 dec  2019 ,La Madeleine,Pompidou - Nouvelle Madeleine ,59110,2935.0,135000, honoraires à la charge du vendeur, électricité individuel,1.0,2,, 1 ,1.0,,,1.0,46.0
44,Non soumis,,En cours de réalisation,,la_madeleine_lot1_NEUF_DI_,4 dec  2019 ,3 dec  2019 ,La Madeleine,Berckem - Kleber - Saint-Charles ,59110,2996.0,209740,,,2.0,3,,,,,1.0,,70.0
45,Non soumis,,En cours de réalisation,,la_madeleine_lot6_NEUF_DI_,4 dec  2019 ,3 dec  2019 ,La Madeleine,Berckem - Kleber - Saint-Charles ,59110,3036.0,212500,,,2.0,3,,,,,1.0,,70.0
46,En cours de réalisation,,En cours de réalisation,,750,10 dec  2019 ,28 nov  2019 ,La Madeleine,Berckem - Kleber - Saint-Charles ,59110,4897.0,495000,  4, Individuel Fioul,2.0,3,1.0, 1 ,,,1.0,,97.0
47,238,E,62,F,V150004536,10 dec  2019 ,21 nov  2019 ,Marcq-en-Barœul,,59700,3352.0,575000,  4, radiateur fuel collectif,3.0,6,, 2 ,,1.0,,1.0,
48,22,A,8,B,120037E1HH98,21 nov  2019 ,12 nov  2019 ,La Madeleine,Centre-ville ,59110,2417.0,179000, honoraires à la charge du vendeur, collectif,3.0,4,, 1 ,,,1.0,1.0,
49,Non soumis,,En cours de réalisation,,VA23590-IMMOTRAM2,5 dec  2019 ,7 nov  2019 ,La,,59110,3692.0,414500,  4, gaz collectif,2.0,3,, 1 ,1.0,1.0,,,107.0
50,180,D,22,D,120037E1C4I4,,,Marcq-en-Barœul,Croisé Laroche - Rouges Barres ,59700,2297.0,170000, honoraires à la charge du vendeur, collectif,2.0,3,, 1 ,,,,1.0,74.0
51,Non soumis,,Non soumis,,2749,29 nov  2019 ,,Marcq-en-Barœul,Croisé Laroche - Rouges Barres ,59700,6373.0,395750, honoraires à la charge du vendeur, électrique individuel,2.0,3,, 1 ,,,,,
52,194,D,28,D,APP-VTE-125-212,5 nov  2019 ,,La Madeleine,Grand Boulevard ,59110,3510.0,269000,  5, gaz collectif,2.0,3,, 1 ,,1.0,,1.0,73.0
53,Vierge,,Vierge,,APP-VTE-131-212,22 nov  2019 ,,Marcq-en-Barœul,Plouich - Clémenceau - Calmette ,59700,4507.0,360000, honoraires à la charge du vendeur, radiateur gaz individuel,2.0,4,, 1 ,,,1.0,1.0,
54,En cours de réalisation,,En cours de réalisation,,SOF1970,,12 dec  2019 ,La Madeleine,Grand Boulevard ,59110,4323.0,549000,  6,,3.0,4,, 1 ,1.0,,,1.0,119.0
55,118,C,22,D,120037E1I7TR,,10 dec  2019 ,La Madeleine,Centre-ville ,59110,2017.0,222500, honoraires à la charge du vendeur, individuel,4.0,5,, 2 ,,,1.0,,
56,,A,En cours de réalisation,,42667,,5 dec  2019 ,La,,59110,4575.0,549000,,,3.0,4,, 2 ,,,,,120.0
57,,,,,59-MDN-236247,16 dec  2019 ,21 nov  2019 ,Marcq-en-Barœul,Mairie ,59700,2999.0,416900,,,5.0,7,, 1 ,,,,,139.0
58,256,E,58,F,2864,29 nov  2019 ,13 nov  2019 ,Marcq-en-Barœul,Buisson - May-Four - Pellevoisin ,59700,3623.0,257250, honoraires à la charge du vendeur,,2.0,3,,,,,,,71.0
59,,A,En cours de réalisation,,41457,,13 nov  2019 ,La,,59110,4575.0,549000,,,3.0,4,, 2 ,,,,,120.0
60,Non soumis,,En cours de réalisation,,VA23604-IMMOTRAM2,19 nov  2019 ,9 nov  2019 ,Marcq-en-Barœul,,59700,2681.0,195000,  5, fuel collectif,2.0,3,, 1 ,1.0,1.0,,,69.0
61,,D,,D,VEMAD,19 nov  2019 ,9 nov  2019 ,La Madeleine,Berckem - Kleber - Saint-Charles ,59110,,204000,  4, gaz,1.0,2,, 1 ,1.0,,,1.0,
62,185,D,8,B,V150004205,,8 nov  2019 ,Marcq-en-Barœul,Plouich - Clémenceau - Calmette ,59700,3952.0,470000,  4, radiateur électrique individuel,2.0,3,, 2 ,,,1.0,1.0,
63,Non soumis,,En cours de réalisation,,VA23576-IMMOTRAM2,5 dec  2019 ,24 oct  2019 ,La,,59110,3896.0,315000,  5, gaz individuel,3.0,4,, 1 ,1.0,1.0,,,77.0
64,151,D,25,D,902,12 dec  2019 ,,La Madeleine,Berckem - Kleber - Saint-Charles ,59110,3324.0,205000,  5, Collectif Radiateur Gaz,1.0,2,, 1 ,1.0,,1.0,1.0,
65,Non soumis,,En cours de réalisation,,VA23462-IMMOTRAM2,5 nov  2019 ,,La,,59110,3417.0,425000,  3, gaz individuel,2.0,3,, 1 ,,1.0,,,120.0
66,267,E,13,C,1346798,12 dec  2019 ,,La Madeleine,Pompidou - Nouvelle Madeleine ,59110,2915.0,137000, honoraires à la charge du vendeur, électricité individuel,1.0,2,, 1 ,,,,1.0,47.0
67,Non soumis,,En cours de réalisation,,VM23670-IMMOTRAM2,5 dec  2019 ,,Marcq-en-Barœul,,59700,4533.0,700000,  2, gaz,4.0,5,1.0, 2 ,,,1.0,,150.0
68,237,E,11,C,V150004449,4 dec  2019 ,,Marcq-en-Barœul,Plouich - Clémenceau - Calmette ,59700,3800.0,395000,  3, radiateur électrique individuel,3.0,4,1.0,,,,1.0,,100.0
69,240,E,11,C,MAI-VTE-135-212,14 nov  2019 ,,Marcq-en-Barœul,Croisé Laroche - Rouges Barres ,59700,4091.0,470000,  4, radiateur électrique individuel,3.0,5,1.0, 2 ,,,,,110.0
70,161,D,37,E,1033,31 oct  2019 ,,La,,59110,2993.0,428000, honoraires à la charge du vendeur, gaz,3.0,4,,,1.0,1.0,1.0,1.0,143.0
71,En cours de réalisation,,En cours de réalisation,,120003E1E58F,28 nov  2019 ,,Marcq-en-Barœul,Briqueterie ,59700,1914.0,149500,  2, individuel,3.0,4,, 1 ,,,1.0,,
72,166,D,En cours de réalisation,,SOF1746,6 nov  2019 ,,La Madeleine,Grand Boulevard ,59110,4329.0,479000,  6,,3.0,4,, 1 ,,,,1.0,104.0
73,76,B,18,C,VA23606-IMMOTRAM2,6 dec  2019 ,5 dec  2019 ,La,,59110,2696.0,288000,  4, gaz collectif,3.0,4,, 1 ,1.0,,1.0,1.0,102.0
74,Non soumis,,En cours de réalisation,,VA23572-IMMOTRAM2,5 dec  2019 ,31 oct  2019 ,Marcq-en-Barœul,,59700,2846.0,367500,  5, gaz individuel,3.0,5,, 1 ,,1.0,,1.0,123.0
75,163,D,8,B,1038,,,La,,59110,4103.0,480000, honoraires à la charge du vendeur, électricité,,4,,,,,1.0,1.0,117.0
76,En cours de réalisation,,En cours de réalisation,,1032,,,Marcq-en-Barœul,,59700,5153.0,675000, honoraires à la charge du vendeur,,4.0,4,1.0, 1 ,,,1.0,,131.0
77,182,D,,B,19997DHI832,13 dec  2019 ,,La,,59110,3311.0,310000,  NaN,,3.0,5,, 2 ,1.0,,1.0,1.0,90.0
78,,C,,C,9958_JG,,29 nov  2019 ,La Madeleine,Pompidou - Nouvelle Madeleine ,59110,3847.0,76941, honoraires à la charge du vendeur,,,1,,,,,,,20.0
79,181,D,42,E,28234735,22 nov  2019 ,16 nov  2019 ,La,,59110,2681.0,177000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF,2.0,3,, 1 ,1.0,,1.0,1.0,
80,Non soumis,,En cours de réalisation,,VA23568-IMMOTRAM2,4 nov  2019 ,30 oct  2019 ,Marcq-en-Barœul,,59700,3265.0,169000,  5, gaz collectif,1.0,2,, 1 ,,1.0,,1.0,49.0
81,338,F,20,C,-1160,18 dec  2019 ,,La,,59110,2013.0,241500, honoraires à la charge du vendeur,,4.0,5,,,,,,,120.0
82,,A,En cours de réalisation,,43353,,18 dec  2019 ,La,,59110,4110.0,168500,,,1.0,2,, 1 ,,,,,41.0
83,297,E,16,C,7422,,,Marcq-en-Barœul,,59700,4292.0,539000,  4, électricité,3.0,4,1.0, 1 ,,,1.0,,120.0
84,En cours de réalisation,,En cours de réalisation,,SOF2003D,,,La Madeleine,Grand Boulevard ,59110,4587.0,306340,  6,,2.0,3,,,,,,1.0,63.0
85,230,D,11,C,7043205,25 nov  2019 ,,Marcq-en-Barœul,Buisson - May-Four - Pellevoisin ,59700,3764.0,199500, honoraires à la charge du vendeur, électricité individuel,1.0,2,, 1 ,1.0,,1.0,1.0,53.0
86,En cours de réalisation,,En cours de réalisation,,4050,,,La,,59110,4725.0,496100, honoraires à la charge du vendeur,,3.0,4,, 1 ,1.0,,,1.0,105.0
87,En cours de réalisation,,En cours de réalisation,,1037,,,La,,59110,3621.0,449000, honoraires à la charge du vendeur, gaz,3.0,4,, 1 ,1.0,1.0,,1.0,124.0
