,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
39,Publiée il y a plus de 1 mois | Modifiée le 19 déc. 2019 | Réf. de l’annonce : 120037E1G76S,Marcq-en-Barœul 59700 (Pont - Montplaisir),148,C,22,D,2 182 €/m²,"['Prix\u202f: 192 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '88 m²', '21 m² de terrain', '5 pièces', '3 chambres', 'Jardin', 'Chauffage : individuel', '1 salle de bain', '1 place de parking', 'Réf. de l’annonce : 120037E1G76S', 'Publiée il y a plus de 1 mois', 'Modifiée le 19 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
40,Publiée il y a plus de 1 mois | Modifiée le 10 déc. 2019 | Réf. de l’annonce : 838,La Madeleine 59110 (Grand Boulevard),300,E,45,E,4 186 €/m²,"['Prix\u202f: 375 000 €, honoraires : 4,17% TTC inclus à la charge de l’acquéreur (360 000 € hors honoraires)', 'Estimez votre mensualité', '86 m²', '4 pièces', '3 chambres', 'Chauffage : Individuel Radiateur Gaz', '1 cave', '1 cheminée', '1 salle de bain', '1 WC', 'Alarme', 'Rez-de-chaussée', 'Construit en 1920', 'Interphone', 'Réf. de l’annonce : 838', 'Publiée il y a plus de 1 mois', 'Modifiée le 10 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
41,Publiée il y a plus de 1 mois | Modifiée le 21 nov. 2019 | Réf. de l’annonce : 1339674,La Madeleine 59110 (Grand Boulevard),Non soumis,NA,En cours de réalisation,NA,3 597 €/m²,"['Prix\u202f: 111 500 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '31 m²', '1 pièce', 'Mandat en exclusivité', 'Réf. de l’annonce : 1339674', 'Publiée il y a plus de 1 mois', 'Modifiée le 21 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
42,Publiée le 12 déc. 2019 | Modifiée le 17 déc. 2019 | Réf. de l’annonce : 73170,Marcq-en-Barœul 59700,257,E,60,F,5 633 €/m²,"['Prix\u202f: 875 000 €, honoraires : 3,55% TTC inclus à la charge de l’acquéreur (845 000 € hors honoraires)', 'Estimez votre mensualité', '150 m²', '1 059 m² de terrain', '7 pièces', '3 chambres', 'Jardin', 'Exposé Sud', 'Chauffage : radiateur gaz', 'Cave', 'Cheminée', '1 salle de bain', '2 étages', 'Réf. de l’annonce : 73170', 'Publiée le 12 déc. 2019', 'Modifiée le 17 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
43,Publiée le 9 déc. 2019 | Réf. de l’annonce : 1357233,La Madeleine 59110 (Pompidou - Nouvelle Madeleine),248,E,11,C,2 935 €/m²,"['Prix\u202f: 135 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '46 m²', '2 pièces', '1 chambre', 'Balcon', 'Chauffage : électricité individuel', '1 salle de bain', '1 WC', '6e étage', 'Ascenseur', 'Digicode', 'Mandat en exclusivité', 'Réf. de l’annonce : 1357233', 'Publiée le 9 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
44,Publiée le 3 déc. 2019 | Modifiée le 4 déc. 2019 | Réf. de l’annonce : la_madeleine_lot1_NEUF_DI_,La Madeleine 59110 (Berckem - Kleber - Saint-Charles),Non soumis,NA,En cours de réalisation,NA,2 996 €/m²,"['209 740 €', 'Estimez votre mensualité', '70 m²', '3 pièces', '2 chambres', 'Exposé Sud', '1 place de parking', 'Réf. de l’annonce : la_madeleine_lot1_NEUF_DI_', 'Publiée le 3 déc. 2019', 'Modifiée le 4 déc. 2019', 'Signaler une anomalie sur cette annonce']"
45,Publiée le 3 déc. 2019 | Modifiée le 4 déc. 2019 | Réf. de l’annonce : la_madeleine_lot6_NEUF_DI_,La Madeleine 59110 (Berckem - Kleber - Saint-Charles),Non soumis,NA,En cours de réalisation,NA,3 036 €/m²,"['212 500 €', 'Estimez votre mensualité', '70 m²', '3 pièces', '2 chambres', 'Exposé Sud', '1 place de parking', 'Réf. de l’annonce : la_madeleine_lot6_NEUF_DI_', 'Publiée le 3 déc. 2019', 'Modifiée le 4 déc. 2019', 'Signaler une anomalie sur cette annonce']"
46,Publiée le 28 nov. 2019 | Modifiée le 10 déc. 2019 | Réf. de l’annonce : 750,La Madeleine 59110 (Berckem - Kleber - Saint-Charles),En cours de réalisation,NA,En cours de réalisation,NA,4 897 €/m²,"['Prix\u202f: 495 000 €, honoraires : 4,21% TTC inclus à la charge de l’acquéreur (475 000 € hors honoraires)', 'Estimez votre mensualité', '97 m²', '580 m² de terrain', '3 pièces', '2 chambres', 'Jardin', 'Chauffage : Individuel Fioul', '1 salle de bain', '1 WC', '3 places de parking', 'Réf. de l’annonce : 750', 'Publiée le 28 nov. 2019', 'Modifiée le 10 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
47,Publiée le 21 nov. 2019 | Modifiée le 10 déc. 2019 | Réf. de l’annonce : V150004536,Marcq-en-Barœul 59700,238,E,62,F,3 352 €/m²,"['Prix\u202f: 575 000 €, honoraires : 4,55% TTC inclus à la charge de l’acquéreur (550 000 € hors honoraires)', 'Estimez votre mensualité', '164,10 m²', '6 pièces', '3 chambres', 'Exposé Est Ouest', 'Chauffage : radiateur fuel collectif', 'Cave', '2 salles de bain', '1 box', '3e étage (sur 4)', 'Construit en 1927', 'Ascenseur', 'Réf. de l’annonce : V150004536', 'Publiée le 21 nov. 2019', 'Modifiée le 10 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
48,Publiée le 12 nov. 2019 | Modifiée le 21 nov. 2019 | Réf. de l’annonce : 120037E1HH98,La Madeleine 59110 (Centre-ville),22,A,8,B,2 417 €/m²,"['Prix\u202f: 179 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '74,07 m²', '4 pièces', '3 chambres', 'Chauffage : collectif', '1 salle de bain', '1 place de parking', '2e étage (sur 4)', 'Ascenseur', 'Réf. de l’annonce : 120037E1HH98', 'Publiée le 12 nov. 2019', 'Modifiée le 21 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
